date,category,original,trend,seasonal,resid
2020-07-01,水生根茎类,4.85,40.20274100470407,-26.55211231605458,-8.800628688649496
2020-07-02,水生根茎类,4.6,40.18008955158734,-30.931496107610176,-4.64859344397717
2020-07-03,水生根茎类,9.572000000000001,40.157454577687865,-30.604064804411205,0.01861022672333945
2020-07-04,水生根茎类,5.439,40.134836174767116,-37.06015605254271,2.3643198777755927
2020-07-05,水生根茎类,4.019,40.11223443574131,-36.31227354328551,0.21903910754419798
2020-07-06,水生根茎类,3.089,40.089649450184,-37.77391185751949,0.773262407335487
2020-07-07,水生根茎类,3.117,40.06708130644422,-38.81190815130845,1.8618268448642254
2020-07-08,水生根茎类,10.605,40.044530091209324,-30.336933396283985,0.8974033050746613
2020-07-09,水生根茎类,2.106,40.021995888025046,-35.420656423578464,-2.4953394644465803
2020-07-10,水生根茎类,9.025,39.999478779567255,-32.17940299876275,1.2049242191954903
2020-07-11,水生根茎类,8.928,39.976978851652284,-29.11118849267688,-1.9377903589753984
2020-07-12,水生根茎类,13.994,39.95449619017805,-27.656167851083186,1.695671660905134
2020-07-13,水生根茎类,11.605,39.93203088304053,-43.095006689340195,14.767975806299667
2020-07-14,水生根茎类,9.007,39.909583011182725,-43.28823097513819,12.385647963955464
2020-07-15,水生根茎类,10.238,39.887152629016306,-28.768671181555874,-0.8804814474604328
2020-07-16,水生根茎类,11.354,39.864739767910116,-32.26463412088114,3.753894352971024
2020-07-17,水生根茎类,10.727,39.84234445463583,-37.418305701694386,8.302961247058555
2020-07-18,水生根茎类,10.418,39.81996670783435,-36.493026348910576,7.091059641076228
2020-07-19,水生根茎类,11.124,39.79760653019612,-28.78379750535462,0.11019097515850262
2020-07-20,水生根茎类,9.548,39.775263911051915,-33.971771214417785,3.7445073033658716
2020-07-21,水生根茎类,12.744,39.75293883550546,-40.06662050624082,13.057681670735356
2020-07-22,水生根茎类,11.05,39.73063127842323,-31.75187152940551,3.071240250982278
2020-07-23,水生根茎类,30.417,39.70834119340026,-14.656328456970495,5.364987263570242
2020-07-24,水生根茎类,11.74,39.686068522790194,-33.13050749870489,5.184438975914695
2020-07-25,水生根茎类,10.424,39.663813198061185,-28.33241365334237,-0.9073995447188139
2020-07-26,水生根茎类,12.988,39.64157514136031,-26.02436977045541,-0.6292053709049057
2020-07-27,水生根茎类,17.265,39.61935427403785,-28.26804414160223,5.913689867564379
2020-07-28,水生根茎类,13.959,39.597150516108,-39.844609449922395,14.206458933814389
2020-07-29,水生根茎类,18.597,39.57496377412189,-28.47225053251389,7.4942867583920005
2020-07-30,水生根茎类,10.645,39.552793929639826,-20.188630572887263,-8.719163356752563
2020-07-31,水生根茎类,19.062,39.53064085123795,-28.779876288228337,8.311235436990387
2020-08-01,水生根茎类,21.432,39.50850441339732,-20.009711542581908,1.9332071291845878
2020-08-02,水生根茎类,56.154,39.486384480812,10.678061945226345,5.989553573961658
2020-08-03,水生根茎类,15.555,39.46428090988252,-35.92406547328529,12.01478456340277
2020-08-04,水生根茎类,26.208,39.44219354327762,-21.94643966984104,8.712246126563421
2020-08-05,水生根茎类,21.451999999999998,39.42012220141541,-23.267053229366052,5.298931027950644
2020-08-06,水生根茎类,19.115000000000002,39.398066686028024,-21.267741770075453,0.9846750840474314
2020-08-07,水生根茎类,25.415,39.376026787358384,-23.4639931263485,9.50296633899012
